"subject" "y" "x" "NA"
2 "Walking_Down_Stairs" 0.27761534806383 -0.0226614158361702
11 "Standing" 0.277715562765957 -0.0171990886595745
13 "Standing" 0.277758431052632 -0.0167891993964912
28 "Standing" 0.277795069113924 -0.0172635124672152
5 "Walking" 0.27784234625 -0.0172850317482679
23 "Standing" 0.277899323235294 -0.0177475547867647
2 "Standing" 0.277911472222222 -0.0184208270166667
17 "Standing" 0.277942503333333 -0.0174120064169231
29 "Standing" 0.277965065846154 -0.0172605869061538
25 "Walking_Up_Stairs" 0.277995411384615 -0.0269863524264615
25 "Standing" 0.278013701621622 -0.0163569730274324
20 "Sitting" 0.278045439090909 -0.0147229305131818
20 "Standing" 0.278076904657534 -0.0180695049161644
19 "Standing" 0.27817226 -0.0154244056945205
5 "Laying" 0.278334325576923 -0.0183042123269231
18 "Standing" 0.278458805890411 -0.0166353518150685
9 "Walking" 0.278502842115385 -0.0180891971284423
25 "Sitting" 0.278541482461538 -0.0147696808030769
10 "Walking" 0.278574076603774 -0.017022351190566
4 "Walking" 0.278582015166667 -0.0148399475341667
22 "Walking" 0.27886459 -0.0167213607957174
15 "Standing" 0.278915803962264 -0.0183516360396226
1 "Standing" 0.278917629056604 -0.0161375901037736
25 "Walking" 0.278992759054054 -0.0186477624716216
22 "Standing" 0.279053861587302 -0.0158563207496825
21 "Walking" 0.279183526730769 -0.0181610317526923
26 "Walking" 0.279264443728814 -0.0154259586949153
26 "Walking_Down_Stairs" 0.2792845828 -0.01262580966778
27 "Standing" 0.279566921625 -0.016593236445
8 "Standing" 0.279620986111111 -0.0148113067148148
22 "Laying" 0.279959721194444 -0.0142629864502778
4 "Walking_Down_Stairs" 0.279965329555556 -0.00980200850666667
14 "Sitting" 0.279990577037037 -0.00870565463888889
3 "Standing" 0.280046513278689 -0.0143376555065574
15 "Walking_Down_Stairs" 0.280198851190476 -0.00563047804309524
10 "Laying" 0.280230574137931 -0.024294484137931
7 "Walking_Down_Stairs" 0.28030708 -0.0166332372978723
6 "Standing" 0.280346248596491 -0.0181236327175439
24 "Standing" 0.280348883913043 -0.0144785340348986
4 "Standing" 0.280499745892857 -0.00948911098553571
14 "Standing" 0.280545613833333 -0.01520781344
11 "Laying" 0.280592970877193 -0.0176598052315789
16 "Sitting" 0.280768574492754 -0.0102497939956522
30 "Laying" 0.281033900571429 -0.0194494098614286
26 "Standing" 0.281127035405405 -0.0166608306652703
28 "Walking" 0.281228223888889 -0.0156759722981481
2 "Laying" 0.281373403958333 -0.0181587397583333
12 "Walking_Down_Stairs" 0.281521097391304 -0.018084266865793
9 "Standing" 0.282310057333333 -0.0200454954022222
5 "Standing" 0.282544390892857 -0.00700418554517857
7 "Standing" 0.282723539433962 -0.0145740341037736
30 "Walking_Down_Stairs" 0.283190646967742 -0.0174383900204839
8 "Walking_Down_Stairs" 0.283484089210526 -0.0211058674973684
16 "Standing" 0.283497402948718 -0.0165999672935897
6 "Walking" 0.283658868070175 -0.0168954189082456
22 "Walking_Down_Stairs" 0.284458963861111 -0.0197999371686389
7 "Sitting" 0.284674637291667 -0.01461097580375
29 "Laying" 0.287295196811594 -0.0171965484202899
18 "Walking_Down_Stairs" 0.288439468909091 -0.0168666920221818
24 "Walking_Down_Stairs" 0.288631208909091 -0.0145730348310909
1 "Walking_Down_Stairs" 0.289188320408163 -0.00991850461020408
15 "Laying" 0.2894756525 -0.0166296542054167
23 "Walking_Down_Stairs" 0.289897411148148 -0.0162111457238889
10 "Walking_Down_Stairs" 0.290401594315789 -0.0200050770710526
25 "Walking_Down_Stairs" 0.291329666206897 -0.0210170522987931
11 "Walking_Down_Stairs" 0.291605631956522 -0.0178097721219565
3 "Walking_Down_Stairs" 0.292423484693878 -0.0193554079328571
29 "Walking_Down_Stairs" 0.293140441083333 -0.01494121505625
14 "Walking_Down_Stairs" 0.293422115555556 -0.0200141413657778
5 "Walking_Down_Stairs" 0.29354392712766 -0.00850107533191489
28 "Walking_Down_Stairs" 0.293642076521739 -0.0220230465913043
17 "Walking_Down_Stairs" 0.29391828326087 -0.0167359404347826
13 "Walking_Down_Stairs" 0.294907553404255 -0.0143723839108511
16 "Walking_Down_Stairs" 0.295586802191489 -0.0183898583787234
9 "Walking_Down_Stairs" 0.295923445 -0.0203994269075476
20 "Walking_Down_Stairs" 0.296144421355556 -0.00964120773155556
27 "Walking_Down_Stairs" 0.2975441875 -0.0135564467159091
21 "Walking_Down_Stairs" 0.3014610196 -0.0173195390157778
